country,iso3,year,m,f
Algeria,DZA,1990,197.7,164.8
Algeria,DZA,1991,193.2,160.8
Algeria,DZA,1992,188.8,156.9
Algeria,DZA,1993,184.6,153.1
Algeria,DZA,1994,180.4,149.3
Algeria,DZA,1995,176.3,145.7
Algeria,DZA,1996,172.3,142.1
Algeria,DZA,1997,168.4,138.7
Algeria,DZA,1998,164.6,135.3
Algeria,DZA,1999,160.8,132
Algeria,DZA,2000,157,128.7
Algeria,DZA,2001,155,127.4
Algeria,DZA,2002,152.9,126
Algeria,DZA,2003,150.7,124.7
Algeria,DZA,2004,148.6,123.3
Algeria,DZA,2005,146.3,122
Algeria,DZA,2006,144.1,120.6
Algeria,DZA,2007,142,119.3
Algeria,DZA,2008,139.8,117.9
Angola,AGO,1990,508.5,374.4
Angola,AGO,1991,507.8,374.1
Angola,AGO,1992,506.1,373.6
Angola,AGO,1993,501.2,372.1
Angola,AGO,1994,496.3,370.5
Angola,AGO,1995,491.5,369.1
Angola,AGO,1996,486.7,367.6
Angola,AGO,1997,481.9,366.1
Angola,AGO,1998,477.3,364.6
Angola,AGO,1999,472.6,363.1
Angola,AGO,2000,468,361.7
Angola,AGO,2001,463.5,360.2
Angola,AGO,2002,459.2,358.9
Angola,AGO,2003,454.8,357.5
Angola,AGO,2004,450.8,356.2
Angola,AGO,2005,447.1,355.1
Angola,AGO,2006,443.8,354
Angola,AGO,2007,439.7,352.7
Angola,AGO,2008,435.7,351.5
Bangladesh,BGD,1990,305.5,332.6
Bangladesh,BGD,1991,299.5,324.2
Bangladesh,BGD,1992,293.6,316.1
Bangladesh,BGD,1993,287.9,308.1
Bangladesh,BGD,1994,282.3,300.4
Bangladesh,BGD,1995,276.7,292.8
Bangladesh,BGD,1996,271.3,285.5
Bangladesh,BGD,1997,266,278.3
Bangladesh,BGD,1998,260.8,271.3
Bangladesh,BGD,1999,255.7,264.5
Bangladesh,BGD,2000,250.7,257.8
Bangladesh,BGD,2001,249.4,256.9
Bangladesh,BGD,2002,241.7,276
Bangladesh,BGD,2003,240.3,276
Bangladesh,BGD,2004,245.4,272.8
Bangladesh,BGD,2005,247.4,252.3
Bangladesh,BGD,2006,251.8,245.3
Bangladesh,BGD,2007,247,237.9
Bangladesh,BGD,2008,246.3,229.8
Benin,BEN,1990,376.4,339.2
Benin,BEN,1991,369.6,336.8
Benin,BEN,1992,363,334.5
Benin,BEN,1993,356.6,332.2
Benin,BEN,1994,350.4,329.9
Benin,BEN,1995,344.2,327.8
Benin,BEN,1996,339.1,325.9
Benin,BEN,1997,334.2,321.6
Benin,BEN,1998,329.7,315
Benin,BEN,1999,325.3,308.8
Benin,BEN,2000,321.1,302.7
Benin,BEN,2001,317.2,296.9
Benin,BEN,2002,313.4,291.5
Benin,BEN,2003,309.7,286.1
Benin,BEN,2004,306.4,281.3
Benin,BEN,2005,303.2,276.7
Benin,BEN,2006,300.5,273
Benin,BEN,2007,297.3,268.4
Benin,BEN,2008,294.2,263.9
Bolivia (Plurinational State of),BOL,1990,296.3,270.9
Bolivia (Plurinational State of),BOL,1991,290.8,262.7
Bolivia (Plurinational State of),BOL,1992,286.3,256
Bolivia (Plurinational State of),BOL,1993,283.9,252.5
Bolivia (Plurinational State of),BOL,1994,281.7,249.1
Bolivia (Plurinational State of),BOL,1995,279.4,245.8
Bolivia (Plurinational State of),BOL,1996,277.3,242.7
Bolivia (Plurinational State of),BOL,1997,273.8,237.5
Bolivia (Plurinational State of),BOL,1998,267.6,228.2
Bolivia (Plurinational State of),BOL,1999,261.8,219.6
Bolivia (Plurinational State of),BOL,2000,256.4,211.5
Bolivia (Plurinational State of),BOL,2001,251.4,203.9
Bolivia (Plurinational State of),BOL,2002,246.8,196.8
Bolivia (Plurinational State of),BOL,2003,242.4,190.1
Bolivia (Plurinational State of),BOL,2004,238.4,183.9
Bolivia (Plurinational State of),BOL,2005,234.6,178
Bolivia (Plurinational State of),BOL,2006,231.1,172.4
Bolivia (Plurinational State of),BOL,2007,227.7,167.1
Bolivia (Plurinational State of),BOL,2008,224.6,161.9
Botswana,BWA,1990,214.7,141.9
Botswana,BWA,1991,213.3,139.2
Botswana,BWA,1992,211.1,134.8
Botswana,BWA,1993,208,128.9
Botswana,BWA,1994,204.4,121.4
Botswana,BWA,1995,202.6,117.2
Botswana,BWA,1996,201.3,114.3
Botswana,BWA,1997,201.7,114.1
Botswana,BWA,1998,203.3,116.8
Botswana,BWA,1999,205.6,120.9
Botswana,BWA,2000,205.7,120.8
Botswana,BWA,2001,205.5,120.5
Botswana,BWA,2002,205.2,119.8
Botswana,BWA,2003,204.6,118.9
Botswana,BWA,2004,203.5,121.8
Botswana,BWA,2005,203.5,122.2
Botswana,BWA,2006,203.6,122.7
Botswana,BWA,2007,203.6,122.7
Botswana,BWA,2008,203.6,122.9
Burkina Faso,BFA,1990,391.8,348.3
Burkina Faso,BFA,1991,392.1,348.4
Burkina Faso,BFA,1992,392.4,348.5
Burkina Faso,BFA,1993,392.7,348.6
Burkina Faso,BFA,1994,393.1,348.8
Burkina Faso,BFA,1995,391,348
Burkina Faso,BFA,1996,387.2,346.5
Burkina Faso,BFA,1997,383.4,345.1
Burkina Faso,BFA,1998,379.8,343.8
Burkina Faso,BFA,1999,376.2,342.4
Burkina Faso,BFA,2000,372.7,341.1
Burkina Faso,BFA,2001,369.4,339.9
Burkina Faso,BFA,2002,366.4,338.7
Burkina Faso,BFA,2003,363.9,337.8
Burkina Faso,BFA,2004,361.2,336.8
Burkina Faso,BFA,2005,358.6,335.8
Burkina Faso,BFA,2006,355.9,334.8
Burkina Faso,BFA,2007,352.8,333.6
Burkina Faso,BFA,2008,350.1,332.6
Burundi,BDI,1990,391.7,336
Burundi,BDI,1991,388.7,335
Burundi,BDI,1992,384.1,333.4
Burundi,BDI,1993,379.4,331.8
Burundi,BDI,1994,376.1,330.7
Burundi,BDI,1995,373.8,330
Burundi,BDI,1996,372.1,329.4
Burundi,BDI,1997,370.6,329
Burundi,BDI,1998,369.2,328.6
Burundi,BDI,1999,368,328.2
Burundi,BDI,2000,366.7,327.9
Burundi,BDI,2001,365.8,327.6
Burundi,BDI,2002,364.6,327.3
Burundi,BDI,2003,363.4,327
Burundi,BDI,2004,362.8,326.8
Burundi,BDI,2005,362.7,326.9
Burundi,BDI,2006,360.6,326.2
Burundi,BDI,2007,359.8,326
Burundi,BDI,2008,358.9,325.8
Cambodia,KHM,1990,298.5,247.2
Cambodia,KHM,1991,298,246.5
Cambodia,KHM,1992,298.8,247.5
Cambodia,KHM,1993,300.5,249.5
Cambodia,KHM,1994,302.2,251.6
Cambodia,KHM,1995,299.8,248.6
Cambodia,KHM,1996,296.6,244.6
Cambodia,KHM,1997,293.4,240.6
Cambodia,KHM,1998,290.4,236.8
Cambodia,KHM,1999,287.4,233.1
Cambodia,KHM,2000,284.7,229.6
Cambodia,KHM,2001,282,226.3
Cambodia,KHM,2002,279.4,223.1
Cambodia,KHM,2003,277,220
Cambodia,KHM,2004,275.1,217.9
Cambodia,KHM,2005,273.1,215.5
Cambodia,KHM,2006,270.8,212.6
Cambodia,KHM,2007,268.6,209.7
Cambodia,KHM,2008,266.3,206.8
Cameroon,CMR,1990,331.8,307.3
Cameroon,CMR,1991,329.7,304.4
Cameroon,CMR,1992,328.2,302.1
Cameroon,CMR,1993,327.1,300.4
Cameroon,CMR,1994,326.1,298.8
Cameroon,CMR,1995,325.1,297.1
Cameroon,CMR,1996,324,295.3
Cameroon,CMR,1997,322.5,293.1
Cameroon,CMR,1998,320.8,290.6
Cameroon,CMR,1999,319,288
Cameroon,CMR,2000,317.4,285.9
Cameroon,CMR,2001,315.7,283.8
Cameroon,CMR,2002,314.3,281.9
Cameroon,CMR,2003,312.6,279.5
Cameroon,CMR,2004,311.1,277.6
Cameroon,CMR,2005,309.5,275.6
Cameroon,CMR,2006,307.8,273.6
Cameroon,CMR,2007,306.2,271.6
Cameroon,CMR,2008,304.4,269.1
Central African Republic,CAF,1990,357.6,337.3
Central African Republic,CAF,1991,356.6,336.9
Central African Republic,CAF,1992,355.6,336.6
Central African Republic,CAF,1993,354.6,336.2
Central African Republic,CAF,1994,353.9,336
Central African Republic,CAF,1995,353.2,335.7
Central African Republic,CAF,1996,352.6,335.5
Central African Republic,CAF,1997,351.8,335.2
Central African Republic,CAF,1998,351.3,335
Central African Republic,CAF,1999,350.7,334.7
Central African Republic,CAF,2000,350,334.5
Central African Republic,CAF,2001,349.1,334.1
Central African Republic,CAF,2002,348.2,333.8
Central African Republic,CAF,2003,347.1,333.4
Central African Republic,CAF,2004,346.1,333
Central African Republic,CAF,2005,344.9,332.5
Central African Republic,CAF,2006,344,332.2
Central African Republic,CAF,2007,343,331.8
Central African Republic,CAF,2008,341.5,331.2
Chad,TCD,1990,398.3,347.6
Chad,TCD,1991,397.8,347.5
Chad,TCD,1992,397.5,347.3
Chad,TCD,1993,396.9,347.1
Chad,TCD,1994,396.2,346.9
Chad,TCD,1995,396,346.8
Chad,TCD,1996,396.3,346.9
Chad,TCD,1997,396.5,346.9
Chad,TCD,1998,396.9,347.1
Chad,TCD,1999,397.3,347.2
Chad,TCD,2000,397.8,347.4
Chad,TCD,2001,398.4,347.6
Chad,TCD,2002,399.3,347.9
Chad,TCD,2003,400.1,348.2
Chad,TCD,2004,401.2,348.6
Chad,TCD,2005,402.5,349.1
Chad,TCD,2006,402.8,349.2
Chad,TCD,2007,402.9,349.2
Chad,TCD,2008,403.4,349.4
China,CHN,1990,192.7,148.1
China,CHN,1991,189.2,143.3
China,CHN,1992,185.7,138.6
China,CHN,1993,182.3,134
China,CHN,1994,178.9,129.7
China,CHN,1995,175.6,125.4
China,CHN,1996,172.3,121.3
China,CHN,1997,169,117.3
China,CHN,1998,165.8,113.4
China,CHN,1999,162.6,109.6
China,CHN,2000,159.5,106
China,CHN,2001,156.3,102.5
China,CHN,2002,153.3,99
China,CHN,2003,150.1,95.7
