country,iso3,year,m,f
Afghanistan,AFG,1990,485.3,384.0
Afghanistan,AFG,1991,484.2,383.6
Afghanistan,AFG,1992,483.1,383.3
Afghanistan,AFG,1993,482.0,383.0
Afghanistan,AFG,1994,480.9,382.6
Afghanistan,AFG,1995,479.8,382.3
Afghanistan,AFG,1996,479.8,382.3
Afghanistan,AFG,1997,479.8,382.3
Afghanistan,AFG,1998,479.7,382.3
Afghanistan,AFG,1999,479.7,382.3
Afghanistan,AFG,2000,479.7,382.3
Afghanistan,AFG,2001,479.7,382.3
Afghanistan,AFG,2002,479.7,382.3
Afghanistan,AFG,2003,479.7,382.3
Afghanistan,AFG,2004,479.7,382.3
Afghanistan,AFG,2005,479.7,382.3
Afghanistan,AFG,2006,479.8,382.3
Afghanistan,AFG,2007,479.8,382.3
Afghanistan,AFG,2008,479.8,382.3
Algeria,DZA,1990,197.7,164.8
Algeria,DZA,1991,193.2,160.8
Algeria,DZA,1992,188.8,156.9
Algeria,DZA,1993,184.6,153.1
Algeria,DZA,1994,180.4,149.3
Algeria,DZA,1995,176.3,145.7
Algeria,DZA,1996,172.4,142.1
Algeria,DZA,1997,168.5,138.7
Algeria,DZA,1998,164.7,135.3
Algeria,DZA,1999,160.9,132.0
Algeria,DZA,2000,157.3,128.8
Algeria,DZA,2001,155.4,127.5
Algeria,DZA,2002,153.5,126.2
Algeria,DZA,2003,151.7,125.0
Algeria,DZA,2004,149.8,123.7
Algeria,DZA,2005,148.0,122.4
Algeria,DZA,2006,146.2,121.2
Algeria,DZA,2007,144.5,120.0
Algeria,DZA,2008,142.7,118.8
Angola,AGO,1990,509.9,376.1
Angola,AGO,1991,509.6,376.4
Angola,AGO,1992,508.5,376.5
Angola,AGO,1993,504.1,375.8
Angola,AGO,1994,500.0,375.2
Angola,AGO,1995,496.2,375.0
Angola,AGO,1996,492.6,374.9
Angola,AGO,1997,489.2,375.2
Angola,AGO,1998,486.2,375.7
Angola,AGO,1999,483.3,376.6
Angola,AGO,2000,480.8,377.8
Angola,AGO,2001,478.6,379.3
Angola,AGO,2002,476.8,381.2
Angola,AGO,2003,474.5,382.4
Angola,AGO,2004,471.6,382.6
Angola,AGO,2005,471.1,385.8
Angola,AGO,2006,467.1,384.1
Angola,AGO,2007,463.3,383.4
Angola,AGO,2008,459.7,383.0
Bangladesh,BGD,1990,305.5,332.6
Bangladesh,BGD,1991,299.5,324.2
Bangladesh,BGD,1992,293.6,316.1
Bangladesh,BGD,1993,287.9,308.1
Bangladesh,BGD,1994,282.3,300.4
Bangladesh,BGD,1995,276.7,292.8
Bangladesh,BGD,1996,271.3,285.5
Bangladesh,BGD,1997,266.0,278.3
Bangladesh,BGD,1998,260.8,271.3
Bangladesh,BGD,1999,255.7,264.5
Bangladesh,BGD,2000,250.7,257.8
Bangladesh,BGD,2001,249.4,256.9
Bangladesh,BGD,2002,241.7,276.0
Bangladesh,BGD,2003,240.3,276.0
Bangladesh,BGD,2004,245.5,272.8
Bangladesh,BGD,2005,247.6,252.3
Bangladesh,BGD,2006,252.0,245.3
Bangladesh,BGD,2007,247.3,237.9
Bangladesh,BGD,2008,246.7,229.8
Benin,BEN,1990,376.7,339.7
Benin,BEN,1991,370.3,337.5
Benin,BEN,1992,364.0,335.6
Benin,BEN,1993,357.9,333.9
Benin,BEN,1994,352.4,332.6
Benin,BEN,1995,347.3,331.8
Benin,BEN,1996,343.6,331.9
