iso3,Country,year,m,f
1060,Cape Verde,1990,253.2,144.2
1060,Cape Verde,1991,255.6,145.7
1060,Cape Verde,1992,258.2,147.2
1060,Cape Verde,1993,260.9,148.9
1060,Cape Verde,1994,263.7,150.7
1060,Cape Verde,1995,266.7,152.5
1060,Cape Verde,1996,269.9,154.5
1060,Cape Verde,1997,273.1,156.6
1060,Cape Verde,1998,276.6,158.8
1060,Cape Verde,1999,280.1,161.1
1060,Cape Verde,2000,283.9,163.5
1060,Cape Verde,2001,282.5,155.9
1060,Cape Verde,2002,281.2,148.6
1060,Cape Verde,2003,279.9,141.7
1060,Cape Verde,2004,278.6,135.1
1060,Cape Verde,2005,277.3,128.8
1060,Cape Verde,2006,276,122.7
1060,Cape Verde,2007,274.7,116.9
1060,Cape Verde,2008,273.6,114.6
1125,Egypt,1990,238.3,181.9
1125,Egypt,1991,236.1,179.2
1125,Egypt,1992,226.1,172.6
1125,Egypt,1993,224.1,171
1125,Egypt,1994,225.7,169
1125,Egypt,1995,220.9,161.3
1125,Egypt,1996,220.8,164
1125,Egypt,1997,221.9,164.7
1125,Egypt,1998,216.8,161.3
1125,Egypt,1999,222.5,159.8
1125,Egypt,2000,220,157.6
1125,Egypt,2001,224.2,159.9
1125,Egypt,2002,229.4,162.7
1125,Egypt,2003,225.6,159.5
1125,Egypt,2004,222,156.4
1125,Egypt,2005,218.7,153.5
1125,Egypt,2006,230.1,159.1
1125,Egypt,2007,224.8,153
1125,Egypt,2008,221.7,151
1250,Libyan Arab Jamahiriya,1990,208.7,136.4
1250,Libyan Arab Jamahiriya,1991,207.1,133.6
1250,Libyan Arab Jamahiriya,1992,205.8,131
1250,Libyan Arab Jamahiriya,1993,204.5,128.4
1250,Libyan Arab Jamahiriya,1994,203.1,125.7
1250,Libyan Arab Jamahiriya,1995,201.9,123.2
1250,Libyan Arab Jamahiriya,1996,199.3,120.9
1250,Libyan Arab Jamahiriya,1997,196.5,118.5
1250,Libyan Arab Jamahiriya,1998,193.8,116.3
1250,Libyan Arab Jamahiriya,1999,191.3,114.2
1250,Libyan Arab Jamahiriya,2000,188.7,112.1
1250,Libyan Arab Jamahiriya,2001,186.1,110
1250,Libyan Arab Jamahiriya,2002,183.7,108
1250,Libyan Arab Jamahiriya,2003,181.4,106.2
1250,Libyan Arab Jamahiriya,2004,178.8,104.1
1250,Libyan Arab Jamahiriya,2005,176.5,102.2
1250,Libyan Arab Jamahiriya,2006,174.3,100.5
