iso,uncod,whocode,country,WHO MS,not in current un code list
DZA,12,1010,Algeria,1,
AGO,24,1020,Angola,1,
BEN,204,1025,Benin,1,
BWA,72,1030,Botswana,1,
BFA,854,1035,Burkina Faso,1,
BDI,108,1040,Burundi,1,
CMR,120,1045,Cameroon,1,
CPV,132,1060,Cape Verde,1,
CAF,140,1070,Central African Republic,1,
TCD,148,1080,Chad,1,
COM,174,1090,Comoros,1,
COG,178,1100,Congo,1,
CIV,384,1115,Cote d'Ivoire,1,
DJI,262,1120,Djibouti,1,
EGY,818,1125,Egypt,1,
GNQ,226,1130,Equatorial Guinea,1,
ETH,231,1140,Ethiopia,1,
GAB,266,1160,Gabon,1,
GMB,270,1170,Gambia,1,
GHA,288,1180,Ghana,1,
GIN,324,1190,Guinea,1,
GNB,624,1192,Guinea-Bissau,1,
KEN,404,1220,Kenya,1,
LSO,426,1230,Lesotho,1,
LBR,430,1240,Liberia,1,
LBY,434,1250,Libyan Arab Jamahiriya,1,
MDG,450,1260,Madagascar,1,
MWI,454,1270,Malawi,1,
MLI,466,1280,Mali,1,
MRT,478,1290,Mauritania,1,
MUS,480,1300,Mauritius,1,
MAR,504,1310,Morocco,1,
MOZ,508,1320,Mozambique,1,
NAM,516,1325,Namibia,1,
NER,562,1330,Niger,1,
NGA,566,1340,Nigeria,1,
REU,638,1360,Réunion,,
RWA,646,1370,Rwanda,1,
SHN,654,1380,Saint Helena,,
STP,678,1385,Sao Tome and Principe,1,
SEN,686,1390,Senegal,1,
SYC,690,1400,Seychelles,1,
SLE,694,1410,Sierra Leone,1,
SOM,706,1420,Somalia,1,
ZAF,710,1430,South Africa,1,
SDN,736,1470,Sudan,1,
SWZ,748,1480,Swaziland,1,
TGO,768,1510,Togo,1,
TUN,788,1520,Tunisia,1,
UGA,800,1530,Uganda,1,
TZA,834,1546,United Republic of Tanzania,1,
ESH,732,1553,Western Sahara,,
COD,180,1555,Democratic Republic of the Congo,1,
ZMB,894,1560,Zambia,1,
ZWE,716,1570,Zimbabwe,1,
AIA,660,2005,Anguilla,,
ATG,28,2010,Antigua and Barbuda,1,
ARG,32,2020,Argentina,1,
BHS,44,2030,Bahamas,1,
BRB,52,2040,Barbados,1,
BLZ,84,2045,Belize,1,
BMU,60,2050,Bermuda,,
BOL,68,2060,Bolivia,1,
BRA,76,2070,Brazil,1,
,,2072,"Brazil, North & North-East",,x
,,2073,"Brazil, S, SE & Central West",,x
VGB,92,2085,British Virgin Islands,,
CAN,124,2090,Canada,1,
CYM,136,2110,Cayman Islands,,
CHL,152,2120,Chile,1,
COL,170,2130,Colombia,1,
CRI,188,2140,Costa Rica,1,
CUB,192,2150,Cuba,1,
DMA,212,2160,Dominica,1,
DOM,214,2170,Dominican Republic,1,
ECU,218,2180,Ecuador,1,
SLV,222,2190,El Salvador,1,
FLK,238,2200,Falkland Islands (Malvinas),,
GUF,254,2210,French Guiana,,
GRL,304,2220,Greenland,,
GRD,308,2230,Grenada,1,
GLP,312,2240,Guadeloupe,,
GTM,320,2250,Guatemala,1,
GUY,328,2260,Guyana,1,
HTI,332,2270,Haiti,1,
HND,340,2280,Honduras,1,
JAM,388,2290,Jamaica,1,
MTQ,474,2300,Martinique,,
MEX,484,2310,Mexico,1,
MSR,500,2320,Montserrat,,
ANT,530,2330,Netherlands Antilles,,
,,2331,Netherlands Antilles Curacao,,x
NIC,558,2340,Nicaragua,1,
PAN,591,2350,Panama,1,
PRY,600,2360,Paraguay,1,
PER,604,2370,Peru,1,
PRI,630,2380,Puerto Rico,3,
KNA,659,2385,Saint Kitts and Nevis,1,
LCA,662,2400,Saint Lucia,1,
SPM,666,2410,Saint Pierre and Miquelon,,
VCT,670,2420,Saint Vincent and the Grenadines,1,
SUR,740,2430,Suriname,1,
TTO,780,2440,Trinidad and Tobago,1,
TCA,796,2445,Turks and Caicos Islands,,
USA,840,2450,United States of America,1,
VIR,850,2455,United States Virgin Islands,,
URY,858,2460,Uruguay,1,
VEN,862,2470,Venezuela,1,
AFG,4,3010,Afghanistan,1,
BHR,48,3020,Bahrain,1,
BGD,50,3025,Bangladesh,1,
BTN,64,3027,Bhutan,1,
BRN,96,3030,Brunei Darussalam,1,
KHM,116,3050,Cambodia,1,
CHN,156,3068,China,1,
TWN,158,3070,China: Prov. of Taiwan only,,x
,,3066,China: Selected rural areas,,x
,,3067,China: Selected urban areas,,x
CYP,196,3080,Cyprus,1,
PRK,408,3083,Democratic People's Republic of Korea,1,
TLS,626,3087,Timor-Leste,1,
HKG,344,3090,Hong Kong Special Administrative Region of China,2,
IND,356,3100,India,1,
IDN,360,3110,Indonesia,1,
IRN,364,3130,Iran (Islamic Republic of),1,
IRQ,368,3140,Iraq,1,
ISR,376,3150,Israel,1,
JPN,392,3160,Japan,1,
JOR,400,3170,Jordan,1,
KWT,414,3190,Kuwait,1,
LAO,418,3200,Lao People's Democratic Republic,1,
LBN,422,3210,Lebanon,1,
MAC,446,3220,Macao Special Administrative Region of China,2,
MYS,458,3236,Malaysia,1,
,,3238,Malaysia: Peninsular Malaysia,,x
,,3240,Malaysia: Sabah,,x
MDV,462,3255,Maldives,1,
MNG,496,3260,Mongolia,1,
MMR,104,3270,Myanmar,1,
NPL,524,3280,Nepal,1,
OMN,512,3285,Oman,1,
PAK,586,3290,Pakistan,1,
PHL,608,3300,Philippines,1,
QAT,634,3320,Qatar,1,
KOR,410,3325,Republic of Korea,1,
SAU,682,3340,Saudi Arabia,1,
SGP,702,3350,Singapore,1,
LKA,144,3365,Sri Lanka,1,
SYR,760,3370,Syrian Arab Republic,1,
THA,764,3380,Thailand,1,
TUR,792,3400,Turkey,1,
ARE,784,3405,United Arab Emirates,1,
VNM,704,3408,Viet Nam,1,
VDR,704,3409,"Viet Nam, Formert Dem. Rep.",,x
VNM,714,3410,"Viet Nam, Former Rp.of South",,x
YEM,887,3420,Yemen,1,
ALB,8,4005,Albania,1,
ARM,51,4007,Armenia,1,
AND,20,4008,Andorra,1,
AUT,40,4010,Austria,1,
AZE,31,4012,Azerbaijan,1,
BLR,112,4018,Belarus,1,
BEL,56,4020,Belgium,1,
BIH,70,4025,Bosnia and Herzegovina,1,
BGR,100,4030,Bulgaria,1,
,830,4034,Channel Islands,,
GGY,831,4035,Channel Islands: Guernsey,,x
JEY,832,4036,Channel Islands: Jersey,,x
HRV,191,4038,Croatia,1,
CSK,200,4040,"Czechoslavakia, Former",,x
CZE,203,4045,Czech Republic,1,
DNK,208,4050,Denmark,1,
EST,233,4055,Estonia,1,
FRO,234,4060,Faeroe Islands,,
FIN,246,4070,Finland,1,
FRA,250,4080,France,1,
GEO,268,4084,Georgia,1,
DEU,276,4085,Germany,1,
DDR,278,4090,"Germany, Former Dem. Rep.",,x
DEU,280,4100,"Germany, Former Fed. Rep.",,x
,,4120,"Germany, West Berlin",,x
GIB,292,4130,Gibraltar,,
GRC,300,4140,Greece,1,
HUN,348,4150,Hungary,1,
ISL,352,4160,Iceland,1,
IRL,372,4170,Ireland,1,
ITA,380,4180,Italy,1,
KAZ,398,4182,Kazakhstan,1,
KGZ,417,4184,Kyrgyzstan,1,
LIE,438,4185,Liechtenstein,,
LVA,428,4186,Latvia,1,
LTU,440,4188,Lithuania,1,
LUX,442,4190,Luxembourg,1,
MKD,807,4195,The former Yugoslav Republic of Macedonia,1,
MLT,470,4200,Malta,1,
MCO,492,4205,Monaco,1,
NLD,528,4210,Netherlands,1,
NOR,578,4220,Norway,1,
POL,616,4230,Poland,1,
PRT,620,4240,Portugal,1,
MDA,498,4260,Republic of Moldova,1,
ROU,642,4270,Romania,1,
RUS,643,4272,Russian Federation,1,
SVK,703,4274,Slovakia,1,
SMR,674,4275,San Marino,1,
SVN,705,4276,Slovenia,1,
ESP,724,4280,Spain,1,
SWE,752,4290,Sweden,1,
CHE,756,4300,Switzerland,1,
TJK,762,4301,Tajikistan,1,
TKM,795,4302,Turkmenistan,1,
UKR,804,4303,Ukraine,1,
SUN,810,4304,"Union, Former Soviet",,x
GBR,826,4308,United Kingdom of Great Britain and Northern Ireland,1,
,,4310,"United Kingdom, Engl. & Wales",,x
,,4320,"United Kingdom, N. Ireland",,x
,,4330,"United Kingdom, Scotland",,x
UZB,860,4335,Uzbekistan,1,
SCG,891,4350,Serbia and Montenegro,,x
ASM,16,5010,American Samoa,,
AUS,36,5020,Australia,1,
CXR,162,5040,Christmas Island,,x
CCK,166,5050,Cocos (Keeling) Islands,,x
COK,184,5060,Cook Islands,1,
FJI,242,5070,Fiji,1,
PYF,258,5080,French Polynesia,,
GUM,316,5100,Guam,,
KIR,296,5105,Kiribati,1,
NRU,520,5110,Nauru,1,
NCL,540,5120,New Caledonia,,
,,5130,New Guinea,,x
NZL,554,5150,New Zealand,1,
NIU,570,5170,Niue,1,
PLW,585,5180,Palau,1,
PNG,598,5195,Papua New Guinea,1,
PCN,612,5196,Pitcairn,,
WSM,882,5197,Samoa,1,
SLB,90,5198,Solomon Islands,1,
TKL,772,5199,Tokelau,3,
TON,776,5200,Tonga,1,
TUV,798,5205,Tuvalu,1,
VUT,548,5207,Vanuatu,1,
WLF,876,5210,Wallis and Futuna Islands,,
FSM,583,5108,Micronesia (Federated States of),1,
MHL,584,5107,Marshall Islands,1,
ERI,232,1135,Eritrea,1,
SRB,688,4273,Serbia,1,
MNE,499,4207,Montenegro,1,
ABW,533,2025,Aruba,,
YUG,891,4340,Yugoslavia,,x
YUG,890,4340,Yugoslavia,,x
,650,3330,Ryu Kyu Islands,,x
,,1365,Rodrigues,,x
