gbd_country	GDPpc_1990	GDPpc_1991	GDPpc_1992	GDPpc_1993	GDPpc_1994	GDPpc_1995	GDPpc_1996	GDPpc_1997	GDPpc_1998	GDPpc_1999	GDPpc_2000	GDPpc_2001	GDPpc_2002	GDPpc_2003	GDPpc_2004	GDPpc_2005
Aruba	20250.92	20895.67	20901.92	21053.84	21488.3	21193.29	20951.63	22078.58	23174.55	23218.2	23794.47	23251.46	22279.17	21826.58	22728.98	22620.7
Afghanistan	1403.828	1419.832	1183.108	934.8361	821.4464	816.7681	817.7994	863.5663	867.2024	759.8152	499.1898	452.4203	598.6963	657.9518	665.028	725.4896
Angola	2679.331	2586.922	2357.122	1766.319	1768.214	1818.687	1979.581	2069.185	2127.678	2145.089	2155.318	2164.564	2389.009	2398.595	2575.722	2981.541
Anguilla	10846.02	10394.76	10784.72	11237.49	11788.97	11369.51	11444.17	12320.89	13238.58	13495.73	13477.33	13597.51	13252.5	13368.4	15591.44	16493.51
Albania	3539.166	2170.639	1751.702	2100.076	2475.551	2804.911	2904.132	2624.866	2945.34	3406.012	3806.133	4066.601	4155.827	4274.777	4559.053	4769.173
Andorra	23566.33	23313.04	22607.89	21551.57	21286.96	21306.76	21911.36	23556.78	24265.99	25144.96	25279.42	27481.38	28376.02	29443.47	30552.82	31710.74
Netherlands_Antilles	14160.19	14292.31	14665.18	15211.38	15889.13	15908.88	15902.78	15976.59	15813.44	15613.46	15197.79	15314.94	15312.24	15400.82	15441.35	15435.21
United_Arab_Emirates	34388.27	32915.27	32361.5	30001	31070.22	31588.32	32918.68	33866.96	33289.64	32995.01	34175.07	34938.22	34542.34	37090.62	38784.28	40172.63
Argentina	7411.262	8217.145	9082.74	9511.363	9922.189	9539.028	9889.576	10542.89	10833.81	10442.85	10230.08	9663.915	8591.266	9192.813	9905.109	10639.79
Armenia	3457.294	3123.547	1960.826	1819.407	1940.804	2091.583	2227.738	2250.179	2429.679	2538.922	2751.001	3075.317	3441.69	3839.872	4207.73	4729.102
