iso3,year,sex,noisyjob
"ABW",1970,"female",.084357
"ABW",1971,"female",.084357
"ABW",1972,"female",.084357
"ABW",1973,"female",.084357
"ABW",1974,"female",.084357
"ABW",1975,"female",.084357
"ABW",1976,"female",.084357
"ABW",1977,"female",.084357
"ABW",1978,"female",.084357
"ABW",1979,"female",.084357
"ABW",1980,"female",.084357
"ABW",1981,"female",.084357
"ABW",1982,"female",.084357
"ABW",1983,"female",.084357
"ABW",1984,"female",.084357
"ABW",1985,"female",.084357
"ABW",1986,"female",.084357
"ABW",1987,"female",.084357
"ABW",1988,"female",.084357
"ABW",1989,"female",.084357
"ABW",1990,"female",.084357
"ABW",1991,"female",.084357
"ABW",1992,"female",.084357
"ABW",1993,"female",.084357
"ABW",1994,"female",.084357
"ABW",1995,"female",.084357
"ABW",1996,"female",.084357
"ABW",1997,"female",.084357
"ABW",1998,"female",.084357
"ABW",1999,"female",.084357
"ABW",2000,"female",.084357
"ABW",2001,"female",.084357
"ABW",2002,"female",.084357
"ABW",2003,"female",.084357
"ABW",2004,"female",.084357
"ABW",2005,"female",.084357
"ABW",2006,"female",.084357
"ABW",2007,"female",.084357
"ABW",2008,"female",.084357
"ABW",2009,"female",.084357
"ABW",2010,"female",.084357
"ABW",1970,"male",.1623379
"ABW",1971,"male",.1623379
"ABW",1972,"male",.1623379
"ABW",1973,"male",.1623379
"ABW",1974,"male",.1623379
"ABW",1975,"male",.1623379
"ABW",1976,"male",.1623379
"ABW",1977,"male",.1623379
"ABW",1978,"male",.1623379
"ABW",1979,"male",.1623379
"ABW",1980,"male",.1623379
"ABW",1981,"male",.1623379
"ABW",1982,"male",.1623379
"ABW",1983,"male",.1623379
"ABW",1984,"male",.1623379
"ABW",1985,"male",.1623379
"ABW",1986,"male",.1623379
"ABW",1987,"male",.1623379
"ABW",1988,"male",.1623379
"ABW",1989,"male",.1623379
"ABW",1990,"male",.1623379
"ABW",1991,"male",.1623379
"ABW",1992,"male",.1623379
"ABW",1993,"male",.1623379
"ABW",1994,"male",.1623379
"ABW",1995,"male",.1623379
"ABW",1996,"male",.1623379
"ABW",1997,"male",.1623379
"ABW",1998,"male",.1623379
"ABW",1999,"male",.1623379
"ABW",2000,"male",.1623379
"ABW",2001,"male",.1623379
"ABW",2002,"male",.1623379
"ABW",2003,"male",.1623379
"ABW",2004,"male",.1623379
"ABW",2005,"male",.1623379
"ABW",2006,"male",.1623379
"ABW",2007,"male",.1623379
"ABW",2008,"male",.1623379
"ABW",2009,"male",.1623379
"ABW",2010,"male",.1623379
"AFG",1970,"female",.0850489
"AFG",1971,"female",.0850489
"AFG",1972,"female",.0850489
"AFG",1973,"female",.0850489
"AFG",1974,"female",.0850489
"AFG",1975,"female",.0850489
"AFG",1976,"female",.0850489
"AFG",1977,"female",.0850489
"AFG",1978,"female",.0850489
"AFG",1979,"female",.0850489
"AFG",1980,"female",.0850489
"AFG",1981,"female",.0850489
"AFG",1982,"female",.0850489
"AFG",1983,"female",.0850489
"AFG",1984,"female",.0850489
"AFG",1985,"female",.0850489
"AFG",1986,"female",.0850489
"AFG",1987,"female",.0850489
"AFG",1988,"female",.0850489
"AFG",1989,"female",.0850489
"AFG",1990,"female",.0850489
"AFG",1991,"female",.0850489
"AFG",1992,"female",.0850489
"AFG",1993,"female",.0850489
"AFG",1994,"female",.0850489
"AFG",1995,"female",.0850489
"AFG",1996,"female",.0850489
"AFG",1997,"female",.0850489
"AFG",1998,"female",.0850489
"AFG",1999,"female",.0850489
"AFG",2000,"female",.0850489
"AFG",2001,"female",.0850489
"AFG",2002,"female",.0850489
"AFG",2003,"female",.0850489
"AFG",2004,"female",.0850489
"AFG",2005,"female",.0850489
"AFG",2006,"female",.0850489
"AFG",2007,"female",.0850489
"AFG",2008,"female",.0850489
"AFG",2009,"female",.0850489
"AFG",2010,"female",.0850489
"AFG",1970,"male",.1295911
"AFG",1971,"male",.1295911
"AFG",1972,"male",.1295911
"AFG",1973,"male",.1295911
"AFG",1974,"male",.1295911
"AFG",1975,"male",.1295911
"AFG",1976,"male",.1295911
"AFG",1977,"male",.1295911
"AFG",1978,"male",.1295911
"AFG",1979,"male",.1295911
"AFG",1980,"male",.1295911
"AFG",1981,"male",.1295911
"AFG",1982,"male",.1295911
"AFG",1983,"male",.1295911
"AFG",1984,"male",.1295911
"AFG",1985,"male",.1295911
"AFG",1986,"male",.1295911
"AFG",1987,"male",.1295911
"AFG",1988,"male",.1295911
"AFG",1989,"male",.1295911
"AFG",1990,"male",.1295911
"AFG",1991,"male",.1295911
"AFG",1992,"male",.1295911
"AFG",1993,"male",.1295911
"AFG",1994,"male",.1295911
"AFG",1995,"male",.1295911
"AFG",1996,"male",.1295911
"AFG",1997,"male",.1295911
"AFG",1998,"male",.1295911
"AFG",1999,"male",.1295911
"AFG",2000,"male",.1295911
"AFG",2001,"male",.1295911
"AFG",2002,"male",.1295911
"AFG",2003,"male",.1295911
"AFG",2004,"male",.1295911
"AFG",2005,"male",.1295911
"AFG",2006,"male",.1295911
"AFG",2007,"male",.1295911
"AFG",2008,"male",.1295911
"AFG",2009,"male",.1295911
"AFG",2010,"male",.1295911
"AIA",1970,"female",.084357
"AIA",1971,"female",.084357
"AIA",1972,"female",.084357
"AIA",1973,"female",.084357
"AIA",1974,"female",.084357
"AIA",1975,"female",.084357
"AIA",1976,"female",.084357
"AIA",1977,"female",.084357
"AIA",1978,"female",.084357
"AIA",1979,"female",.084357
"AIA",1980,"female",.084357
"AIA",1981,"female",.084357
"AIA",1982,"female",.084357
"AIA",1983,"female",.084357
"AIA",1984,"female",.084357
"AIA",1985,"female",.084357
"AIA",1986,"female",.084357
"AIA",1987,"female",.084357
"AIA",1988,"female",.084357
"AIA",1989,"female",.084357
"AIA",1990,"female",.084357
"AIA",1991,"female",.084357
"AIA",1992,"female",.084357
"AIA",1993,"female",.084357
"AIA",1994,"female",.084357
"AIA",1995,"female",.084357
"AIA",1996,"female",.084357
"AIA",1997,"female",.084357
"AIA",1998,"female",.084357
"AIA",1999,"female",.084357
"AIA",2000,"female",.084357
"AIA",2001,"female",.084357
"AIA",2002,"female",.084357
"AIA",2003,"female",.084357
"AIA",2004,"female",.084357
"AIA",2005,"female",.084357
"AIA",2006,"female",.084357
"AIA",2007,"female",.084357
"AIA",2008,"female",.084357
"AIA",2009,"female",.084357
"AIA",2010,"female",.084357
"AIA",1970,"male",.1623379
"AIA",1971,"male",.1623379
"AIA",1972,"male",.1623379
"AIA",1973,"male",.1623379
"AIA",1974,"male",.1623379
"AIA",1975,"male",.1623379
"AIA",1976,"male",.1623379
"AIA",1977,"male",.1623379
"AIA",1978,"male",.1623379
"AIA",1979,"male",.1623379
"AIA",1980,"male",.1623379
"AIA",1981,"male",.1623379
"AIA",1982,"male",.1623379
"AIA",1983,"male",.1623379
"AIA",1984,"male",.1623379
"AIA",1985,"male",.1623379
"AIA",1986,"male",.1623379
"AIA",1987,"male",.1623379
"AIA",1988,"male",.1623379
"AIA",1989,"male",.1623379
"AIA",1990,"male",.1623379
"AIA",1991,"male",.1623379
"AIA",1992,"male",.1623379
"AIA",1993,"male",.1623379
"AIA",1994,"male",.1623379
"AIA",1995,"male",.1623379
"AIA",1996,"male",.1623379
"AIA",1997,"male",.1623379
"AIA",1998,"male",.1623379
"AIA",1999,"male",.1623379
"AIA",2000,"male",.1623379
"AIA",2001,"male",.1623379
"AIA",2002,"male",.1623379
"AIA",2003,"male",.1623379
"AIA",2004,"male",.1623379
"AIA",2005,"male",.1623379
"AIA",2006,"male",.1623379
"AIA",2007,"male",.1623379
"AIA",2008,"male",.1623379
"AIA",2009,"male",.1623379
"AIA",2010,"male",.1623379
"ALA",1970,"female",.080055
"ALA",1971,"female",.080055
"ALA",1972,"female",.080055
"ALA",1973,"female",.080055
"ALA",1974,"female",.080055
"ALA",1975,"female",.080055
"ALA",1976,"female",.080055
"ALA",1977,"female",.080055
"ALA",1978,"female",.080055
"ALA",1979,"female",.080055
"ALA",1980,"female",.080055
"ALA",1981,"female",.080055
"ALA",1982,"female",.080055
"ALA",1983,"female",.080055
"ALA",1984,"female",.080055
"ALA",1985,"female",.080055
"ALA",1986,"female",.080055
"ALA",1987,"female",.080055
"ALA",1988,"female",.080055
"ALA",1989,"female",.080055
"ALA",1990,"female",.080055
"ALA",1991,"female",.080055
"ALA",1992,"female",.080055
"ALA",1993,"female",.080055
"ALA",1994,"female",.080055
